time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
4922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5047,1,420,715,0,0,0,0,0,0,0,0,0,0,0,0
5094,1,398,695,0,0,0,0,0,0,0,0,0,0,0,0
5156,1,340,671,0,0,0,0,0,0,0,0,0,0,0,0
5203,1,206,637,0,0,0,0,0,0,0,0,0,0,0,0
5297,1,145,618,0,0,0,0,0,0,0,0,0,0,0,0
5344,0,145,618,0,0,0,0,0,0,0,0,0,0,0,0
5375,0,145,618,0,0,0,0,0,0,0,0,0,0,0,0
5406,0,145,618,0,0,0,0,0,0,0,0,0,0,0,0
5422,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5469,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5500,1,145,617,1,0,0,0,0,0,0,0,0,0,0,0
5547,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5578,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5594,1,145,617,0,0,1,0,0,0,0,0,0,0,0,0
5640,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5656,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5672,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5703,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5719,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5750,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5781,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5797,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5828,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5844,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5875,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5906,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5922,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
5953,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6000,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6031,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6047,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6078,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6094,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6125,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6156,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6172,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6203,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6219,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6250,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6281,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6297,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6344,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6375,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6406,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6422,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6453,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6469,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6500,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6531,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6547,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6578,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6594,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6625,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6656,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6672,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6703,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6719,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6750,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6781,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6797,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6828,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6844,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6875,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6906,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6922,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6953,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
6969,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
