time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
40016,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40219,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40250,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40266,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40297,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40313,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40344,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40375,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40594,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40625,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40641,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40672,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40688,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40719,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40938,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
40969,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41000,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41016,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41047,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41063,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41281,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41297,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41313,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41344,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41375,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41391,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41422,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41625,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41641,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41672,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41688,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41719,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41750,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41766,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
41969,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42000,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42016,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42047,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42063,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42094,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42125,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42344,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42375,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42391,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42422,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42438,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42469,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42688,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42719,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42750,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42766,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42797,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
42813,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43031,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43047,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43063,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43094,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43125,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43141,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43172,1,243,620,0,0,0,0,1,0,0,0,0,0,0,0
43391,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43422,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43438,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43469,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43500,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43516,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43813,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43844,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
43875,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44172,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44188,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44219,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44500,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44516,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44547,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44563,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44766,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44797,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44813,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44844,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44875,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44891,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
44922,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45109,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45125,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45141,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45172,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45188,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45219,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45250,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45266,1,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45453,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45469,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45500,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45516,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
45547,0,243,620,0,0,0,0,0,0,0,0,0,0,0,0
